"IT Tower","Service Family","Service Type","Service Sub Type","Service Usage Type","Product Code","Usage Type","[lineItem/Operation]","lineItem/LineItemDescription"
"Management","Monitoring","Amazon CloudWatch","","Tax%","AmazonCloudWatch","","","%Tax%"
"Management","Monitoring","Amazon CloudWatch","Timed Storage","%TimedStorage-ByteHrs","AmazonCloudWatch","%TimedStorage-ByteHrs","",""
"Management","Monitoring","Amazon CloudWatch","Metrics","%Metrics","AmazonCloudWatch","%Metrics","",""
"Management","Monitoring","Amazon CloudWatch","Data Scanned","%DataScanned-Bytes","AmazonCloudWatch","%DataScanned-Bytes","",""
"Management","Monitoring","Amazon CloudWatch","","","AmazonCloudWatch","","",""
"Management","Cost Management","AWS Budgets","","Tax%","AWSBudgets","","","Tax%"
"Management","Cost Management","AWS Budgets","Budgets Usage","%BudgetsUsage%","AWSBudgets","%BudgetsUsage%","",""
"Developer Tools","Testing","AWS Device Farm","Windows Chrome","%Windows-Chrome%","AWSDeviceFarm","%Windows-Chrome%","",""
"Developer Tools","Testing","AWS Device Farm","iOS Device","%iOS-Device%","AWSDeviceFarm","%iOS-Device%","",""
"Developer Tools","Testing","AWS Device Farm","iOS Remote Access","%iOS-RA%","AWSDeviceFarm","%iOS-RA%","",""
"Developer Tools","Testing","AWS Device Farm","Android Device","%Android-Device%","AWSDeviceFarm","%Android-Device%","",""
"Developer Tools","Testing","AWS Device Farm","Android Remote Access","%Android-RA%","AWSDeviceFarm","%Android-RA%","",""
"Compute","Serverless","AWS Lambda","","Tax%","AWSLambda","","","Tax%"
"Compute","Serverless","AWS Lambda","Provisioned GB Second","%Provisioned-GB-Second","AWSLambda","%Provisioned-GB-Second","",""
"Compute","Serverless","AWS Lambda","GB Second","%GB-Second","AWSLambda","%GB-Second","",""
"Compute","Serverless","AWS Lambda","Request","%Request","AWSLambda","%Request","",""
"Compute","Serverless","AWS Lambda","Provisioned Concurrency","%ProvisionedConcurrency%","AWSLambda","%ProvisionedConcurrency%","ProvisionedConcurrency",""
"Analytics","Big Data","Elastic MapReduce","","Tax%","ElasticMapReduce","","","Tax%"
"Analytics","Big Data","Elastic MapReduce","Box Usage","%BoxUsage%","ElasticMapReduce","%BoxUsage%","",""
"Compute","Instances","Amazon EC2","Box Usage","%BoxUsage%","AmazonEC2","%BoxUsage%","",""
"Compute","Instances","Amazon EC2","Dedicated Usage","%DedicatedUsage%","AmazonEC2","%DedicatedUsage%","Surcharge",""
"Compute","Instances","Amazon EC2","Dedicated Usage","%DedicatedUsage%","AmazonEC2","%DedicatedUsage%","",""
"Compute","Instances","Amazon EC2","Host Usage","%HostUsage%","AmazonEC2","%HostUsage%","",""
"Compute","Instances","Amazon EC2","EGPU Usage","%EGpuUsage%","AmazonEC2","%EGpuUsage%","",""
"Compute","Instances","Amazon EC2","CPU Credits","%CPUCredits%","AmazonEC2","%CPUCredits%","",""
"Analytics","Big Data","Elastic MapReduce","","Tax%","ElasticMapReduce","","","Tax%"
"Analytics","Big Data","Elastic MapReduce","Box Usage","%BoxUsage%","ElasticMapReduce","%BoxUsage%","",""
"Business Applications","Email","Amazon WorkMail","WorkMail","%WorkMail%","AmazonWorkMail","%WorkMail%","",""
"End User Computing","Desktops","Amazon WorkSpaces","","Tax%","AmazonWorkSpaces","","","Tax%"
"End User Computing","Desktops","Amazon WorkSpaces","Hardware","%AW-HW%","AmazonWorkSpaces","%AW-HW%","",""
"End User Computing","Desktops","Amazon WorkSpaces","Software","%AW-SW%","AmazonWorkSpaces","%AW-SW%","",""
"Business Applications","Voice","Amazon Alexa for Business","Shared Device","%SharedDevice%","AmazonAlexaForBusiness","%SharedDevice%","",""
"Business Applications","Voice","Amazon Alexa for Business","User","%User%","AmazonAlexaForBusiness","%User%","",""
"Security","Investigation","Amazon Detective","Preview Logs Analyzed","%PreviewLogsAnalyzed-Bytes","AmazonDetective","%PreviewLogsAnalyzed-Bytes","",""
"Security","Vulnerability","Amazon Inspector","Agent Assessments","%agent-assessments%","AmazonInspector","%agent-assessments%","",""
"Security","Vulnerability","Amazon Inspector","Network Assessments","%network-assessments%","AmazonInspector","%network-assessments%","",""
"Security","Data Protection","Amazon Macie","","%Macie-Usage%","AmazonMacie","%Macie-Usage%","",""
"Mobile","Engagement","Amazon Pinpoint","Delivery Attempts GCM","%Pinpoint_DeliveryAttempts_GCM","AmazonPinpoint","%Pinpoint_DeliveryAttempts_GCM","",""
"Mobile","Engagement","Amazon Pinpoint","Delivery Attempts APNS","%Pinpoint_DeliveryAttempts_APNS","AmazonPinpoint","%Pinpoint_DeliveryAttempts_APNS","",""
"Mobile","Engagement","Amazon Pinpoint","Monthly Targeted Audience","Pinpoint_MonthlyTargetedAudience","AmazonPinpoint","Pinpoint_MonthlyTargetedAudience","Notification",""
"Mobile","Engagement","Amazon Pinpoint","Events Recorded","%EventsRecorded%","AmazonPinpoint","%EventsRecorded%","PutEvents",""
"Mobile","Engagement","Amazon Pinpoint","Events Recorded","%EventsRecorded%","mobileanalytics","%EventsRecorded%","PutEvents",""
