IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Meter Category,Meter Sub-Category,Meter Name,Consumed Service,[AdditionalInfo]
Analytics,Data Integration,Azure Data Factory,Data Movement Self Hosted IR,Data Movement Self-Hosted,,,Data Movement Self Hosted IR,Microsoft.DataFactory,
Analytics,Data Integration,Azure Data Factory,Orchestration Self Hosted IR,Orchestration Self-Hosted,,,Orchestration Self Hosted IR,Microsoft.DataFactory,
Analytics,Data Integration,Azure Data Factory,Orchestration,Orchestration (generic),,,%,Microsoft.DataFactory,
Analytics,Data Integration,Azure Data Factory,Data Movement Cloud IR,Data Movement Cloud,,,Data Movement Cloud IR,Microsoft.DataFactory,
Analytics,Data Integration,Azure Data Factory,Orchestration Cloud IR,Orchestration Cloud,,,Orchestration Cloud IR,Microsoft.DataFactory,
Analytics,Data Integration,Azure Data Factory,SSIS,SSIS Runtime (STD D4 v2),,,SSIS STD D4 v2,Microsoft.DataFactory,
Database,Managed Database,Azure Database for MySQL,,Managed DB (MySQL),,,,Microsoft.DBforMyQL,
Database,Managed Database,Azure Database for PostgreSQL,,Managed DB (PostgreSQL),,,,Microsoft.DBforPostgreSQL,
Analytics,Data Engineering,Azure Databricks,,Data Analytics/Engineering,,,%Data Analytics%,Microsoft.Databricks,
Analytics,Data Engineering,Azure Databricks,,Data Engineering,,,%Data Engineering%,Microsoft.Databricks,
Compute,Cache,Azure Redis Cache,,Cache Instance,Cache,,,Microsoft.Cache,
Compute,Cache,Azure Redis Cache,,Cache Capacity/Metric,,,C%,Microsoft.Cache,
Compute,Cache,Azure Redis Cache,,Cache Capacity/Metric,,,___C%,Microsoft.Cache,
Networking,Content Delivery Network,Azure CDN,,Standard CDN Data Transfer,CDN,,Standard CDN Data Transfer%,Microsoft.Cdn,
Networking,Content Delivery Network,Azure CDN,,Data Transfer,CDN,,%Data Transfer,Microsoft.Cdn,
Compute,Containers,Azure Container Instances,,Core Duration,Container Instances,Container Instances,Core Duration,Microsoft.ContainerInstance,
Compute,Containers,Azure Container Instances,,Duration,Container Instances,Container Instances,Duration,Microsoft.ContainerInstance,
Compute,Containers,Azure Container Instances,,Executions,Container Instances,Container Instances,Executions,Microsoft.ContainerInstance,
Compute,Containers,Azure Container Instances,,Memory Duration,Container Instances,,Memory Duration,Microsoft.ContainerInstance,
Compute,Containers,Azure Container Instances,,vCPU Duration,Container Instances,,vCPU Duration,Microsoft.ContainerInstance,
Analytics,AI/ML,Azure Machine Learning,Production Web API,Production Web API,Machine Learning Studio,,Production Web API,Microsoft.MachineLearning,
Networking,Network Transfer,Azure Machine Learning Services,,Data Transfer,Bandwidth,,%Data Transfer%,Microsoft.MachineLearningServices,
Networking,Network Transfer,Azure Search,,Data Transfer,Bandwidth,,%Data Transfer%,Microsoft.Search,
Networking,Hybrid Connectivity,Azure VPN Gateway,,Gateway Usage,VPN Gateway,,%Gateway%,Microsoft.Network,
Networking,Hybrid Connectivity,Azure VPN Gateway,,Gateway Usage,VPN Gateway,,%Gw%,Microsoft.Network,
Networking,Network Transfer,Azure VPN Gateway,,Data Transfer,VPN Gateway,,%Data Transfer%,Microsoft.Network,
Networking,Traffic Management,Azure Traffic Manager,,Azure Endpoint Requests,Traffic Manager,,%Azure Endpoint%,Microsoft.Network,
Networking,Traffic Management,Azure Traffic Manager,,Service Endpoint Requests,Traffic Manager,,%Service Endpoint%,Microsoft.Network,
Networking,Traffic Management,Azure Traffic Manager,,DNS Queries,Traffic Manager,,%DNS Queries%,Microsoft.Network,
Networking,Traffic Management,Azure Traffic Manager,,Real User Measurements,Traffic Manager,,%Real User Measurements%,Microsoft.Network,
Networking,Traffic Management,Azure Traffic Manager,,Traffic View,Traffic Manager,,%Traffic View%,Microsoft.Network,
Security,Network Security,Azure Firewall,,Deployment,Azure Firewall,,Deployment,Microsoft.Network,
Security,Network Security,Azure Firewall,,Data Processed,Azure Firewall,,Data Processed,Microsoft.Network,
Application Services,Messaging,Azure Notification Hubs,,,,,,Microsoft.NotificationHubs,
Business Applications,Business Intelligence,Power BI,,Embedded/Service,Power BI,Embedded,,Microsoft.PowerBI,
Business Applications,Business Intelligence,Power BI Embedded,A1 Node,Dedicated Capacity (A1 Node),Power BI Embedded,Power BI Embedded,A1 Node,Microsoft.PowerBIDedicated,
Business Applications,Business Intelligence,Power BI Embedded,A1,Dedicated Capacity (A1),Power BI Embedded,Power BI Embedded,A1,Microsoft.PowerBIDedicated,
